gene,SJ1,SJ10,SJ11,SJ12,SJ2,SJ3,SJ4,SJ5,SJ6,SJ7,SJ8,SJ9
ENSMUSG00000021501,768,735,642,573,792,642,776,551,691,776,950,868
ENSMUSG00000021504,1330,993,1081,1102,1235,1179,1334,801,939,1376,1670,1052
ENSMUSG00000021506,0,1,1,1,0,0,0,0,0,20,0,0
ENSMUSG00000021508,106,61,73,73,154,45,66,53,44,52,108,76
ENSMUSG00000021509,0,0,0,0,0,0,3,0,0,1,1,0
ENSMUSG00000021510,417,264,308,312,648,616,250,321,238,385,643,341
ENSMUSG00000021514,280,262,216,267,233,279,236,180,267,394,354,301
ENSMUSG00000021518,1716,1415,1544,1638,1943,1430,1528,1297,1361,1882,2394,1534
ENSMUSG00000021519,654,636,508,591,565,656,661,418,583,685,885,598
ENSMUSG00000021520,2177,2673,2575,2888,2590,2487,2987,2365,2723,2302,2089,3162
ENSMUSG00000021532,972,652,1013,968,1085,1201,1308,811,1165,988,772,824
ENSMUSG00000021534,0,0,0,2,0,0,0,0,0,0,0,3
ENSMUSG00000021536,45,11,16,16,40,2,20,23,18,21,39,9
ENSMUSG00000021537,1289,1087,1239,1217,1354,1196,1191,825,1050,1222,1505,1213
ENSMUSG00000021538,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000021539,0,0,0,0,0,0,2,0,0,5,0,0
ENSMUSG00000021540,487,513,475,414,560,522,463,336,480,664,704,492
ENSMUSG00000021541,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000021545,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000021546,19156,12770,14303,16746,19363,15382,17887,13636,15878,16814,18945,14492
ENSMUSG00000021548,641,574,462,566,601,676,727,440,480,592,402,584
ENSMUSG00000021549,2133,1054,1198,1353,2190,1541,1178,1229,1178,2049,2413,1079
ENSMUSG00000021550,1422,1157,1333,1363,1424,1321,1305,1201,1225,1378,1706,1176
ENSMUSG00000021552,346,155,149,206,302,193,211,247,254,368,555,156
ENSMUSG00000021553,3,0,5,1,2,4,0,16,1,4,6,3
ENSMUSG00000021555,1217,625,574,972,821,617,969,628,647,1012,1185,1007
ENSMUSG00000021556,751,311,246,357,635,434,457,317,410,594,896,386
ENSMUSG00000021557,1008,566,959,1389,795,1369,1431,648,886,1139,1191,1164
ENSMUSG00000021559,4477,4394,4156,4293,4070,4994,4359,3081,3632,6158,7393,4642
ENSMUSG00000021565,40,49,16,40,38,105,31,34,62,23,0,62
ENSMUSG00000021566,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000021567,0,8,17,5,1,1,2,1,14,10,56,7
ENSMUSG00000021569,650,339,352,358,780,447,355,407,450,353,442,333
ENSMUSG00000021572,319,160,90,59,241,118,123,90,51,161,275,87
ENSMUSG00000021573,7,0,0,1,6,0,0,0,0,17,16,5
ENSMUSG00000021575,800,817,827,1127,666,344,448,636,988,1431,1147,529
ENSMUSG00000021576,2364,1844,2163,2199,2480,2190,2107,1812,1966,2209,2349,2054
ENSMUSG00000021577,7201,7641,5733,7321,7037,5963,6928,4833,5304,8294,7304,7406
ENSMUSG00000021578,906,923,820,535,1080,1065,902,860,702,963,917,761
ENSMUSG00000021579,2,0,0,0,0,0,0,0,0,0,13,0
ENSMUSG00000021583,3065,1244,1480,1298,3170,2453,1797,1606,1767,2131,3747,1706
ENSMUSG00000021585,4672,4069,3869,3847,4600,4104,3652,2995,3715,4813,5153,4119
ENSMUSG00000021587,9,0,0,0,3,0,0,0,0,3,0,0
ENSMUSG00000021589,14,16,5,20,7,15,8,9,8,7,3,28
ENSMUSG00000021590,0,0,0,2,0,4,0,0,0,0,0,0
ENSMUSG00000021591,5405,6048,8114,8781,5575,11157,11533,11044,13570,2510,2541,7091
ENSMUSG00000021592,607,322,360,348,650,448,362,266,263,631,819,309
ENSMUSG00000021594,76,43,40,19,83,76,15,24,77,63,125,15
ENSMUSG00000021595,3487,2760,3403,3218,3455,4044,4071,3394,3602,2486,2847,3004
ENSMUSG00000021596,791,728,391,437,678,689,682,400,394,643,809,758
ENSMUSG00000021597,380,167,308,233,450,347,251,230,254,288,373,245
ENSMUSG00000021598,934,1001,973,1044,1117,1051,1152,971,991,1102,1011,1080
ENSMUSG00000021600,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000021604,1,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000021606,779,1016,1096,1019,929,974,1112,887,974,892,713,1229
ENSMUSG00000021607,649,698,709,713,767,639,682,551,628,811,591,860
ENSMUSG00000021608,1579,1550,1570,1740,1441,2011,1888,1544,1702,1622,1827,1533
ENSMUSG00000021609,0,0,0,0,1,0,0,0,0,0,0,0
ENSMUSG00000021610,4772,5077,6061,6708,4666,6040,6979,5365,6794,4809,4692,5684
ENSMUSG00000021611,20,0,0,0,1,2,0,3,2,0,0,0
ENSMUSG00000021612,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000021613,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000021614,820,1773,2710,3293,882,2210,2272,2722,2559,4002,3949,2979
ENSMUSG00000021615,303,388,278,489,304,480,626,238,382,337,315,479
ENSMUSG00000021619,271,308,336,315,318,311,303,237,302,263,212,351
ENSMUSG00000021620,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000021621,524,661,606,629,679,802,809,513,739,654,519,700
ENSMUSG00000021622,5,0,0,0,2,7,9,0,0,0,0,0
ENSMUSG00000021624,7463,2752,3505,4080,6834,3895,3951,3591,4341,3292,3944,3116
ENSMUSG00000021629,2466,2338,2319,2392,2617,2415,2503,1957,2304,2237,2808,2494
ENSMUSG00000021631,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000021635,789,704,787,847,770,794,835,693,753,736,951,758
ENSMUSG00000021636,1,1,0,3,2,0,4,0,1,9,0,0
ENSMUSG00000021638,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000021639,583,290,442,454,515,413,438,383,372,456,671,366
ENSMUSG00000021640,35,53,94,119,35,70,46,91,124,34,104,56
ENSMUSG00000021643,97,805,990,1076,112,612,698,657,751,67,100,942
ENSMUSG00000021645,617,596,550,537,657,611,817,491,595,585,573,741
ENSMUSG00000021646,288,328,280,358,399,358,337,241,243,417,492,320
ENSMUSG00000021647,0,0,0,0,0,0,0,0,4,0,0,0
ENSMUSG00000021650,775,915,824,935,726,969,1067,684,808,615,649,1064
ENSMUSG00000021660,7454,5796,6820,7033,7848,6882,7718,6202,6677,7650,7599,6798
ENSMUSG00000021661,360,288,348,351,363,320,407,218,278,535,715,495
ENSMUSG00000021662,1,0,1,1,6,0,0,5,0,1,0,0
ENSMUSG00000021665,6021,3976,3534,3458,6111,4249,4666,3152,3582,3581,4097,4149
ENSMUSG00000021666,833,682,703,829,795,799,1013,637,671,644,956,885
ENSMUSG00000021668,508,370,401,352,433,444,504,333,327,508,588,425
ENSMUSG00000021669,2847,1726,1965,1961,2456,2180,1843,1927,2010,3347,4140,1834
ENSMUSG00000021670,4075,1784,2326,2241,3755,3180,2878,2836,2792,2891,3638,1888
ENSMUSG00000021671,529,211,244,254,512,290,605,227,310,538,980,255
ENSMUSG00000021675,5,0,11,6,0,0,4,7,7,0,0,9
ENSMUSG00000021676,2182,1286,1622,1753,2135,2233,2075,1608,1730,3639,4217,1479
ENSMUSG00000021678,1,1,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000021679,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000021680,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000021681,1753,1444,1480,1577,1763,1746,1861,1277,1525,2001,2197,1600
ENSMUSG00000021684,233,285,223,246,194,256,315,239,287,195,210,277
ENSMUSG00000021685,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000021686,2758,2287,2650,2887,2751,2835,3222,2387,2959,2887,3362,2825
ENSMUSG00000021687,1719,2365,2319,2540,1558,2866,2665,2424,2516,2530,2429,2482
ENSMUSG00000021690,239,273,235,253,216,141,159,88,136,329,329,194
ENSMUSG00000021692,324,326,353,354,336,547,460,417,331,343,179,337
ENSMUSG00000021693,1252,1128,1281,1495,1147,1465,1390,974,1380,1449,1390,1122
ENSMUSG00000021694,160,140,163,122,159,155,192,87,101,123,211,166
ENSMUSG00000021696,20,17,3,12,14,19,24,21,5,15,52,4
ENSMUSG00000021697,366,21,59,38,323,74,86,52,40,294,373,40
ENSMUSG00000021699,30,46,32,49,20,39,38,56,41,58,43,64
ENSMUSG00000021700,0,1,1,0,0,2,1,3,15,4,0,0
ENSMUSG00000021701,1702,807,915,1015,1585,1814,1847,1396,1526,406,646,840
ENSMUSG00000021702,0,0,3,12,0,0,1,0,4,0,0,0
ENSMUSG00000021703,393,516,343,287,426,377,333,138,179,718,687,445
ENSMUSG00000021704,329,267,329,314,248,405,404,186,350,350,460,495
ENSMUSG00000021706,868,596,919,764,858,685,804,621,682,767,983,564
ENSMUSG00000021707,1173,362,395,441,1140,532,510,520,625,547,636,329
ENSMUSG00000021708,3,4,0,6,19,0,16,1,0,2,1,0
ENSMUSG00000021709,3111,2213,2655,2756,2788,2720,2291,2344,2796,3866,4736,2516
ENSMUSG00000021710,1194,960,1550,1349,1157,1660,1279,1191,1322,1171,1525,1335
ENSMUSG00000021711,1145,1010,1114,1222,1098,1100,1146,900,892,1264,871,1089
ENSMUSG00000021712,414,385,353,343,436,371,393,356,387,417,561,345
ENSMUSG00000021713,366,288,287,314,397,428,354,314,311,334,508,319
ENSMUSG00000021714,330,117,90,109,398,86,152,108,124,192,354,68
ENSMUSG00000021715,434,895,1107,740,543,749,751,618,605,580,724,950
ENSMUSG00000021716,609,769,890,901,586,628,623,500,622,667,872,897
ENSMUSG00000021718,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000021719,34,3,7,11,76,10,22,5,11,146,173,7
ENSMUSG00000021720,303,202,186,191,356,165,239,116,166,623,648,127
ENSMUSG00000021721,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000021725,512,492,482,445,562,548,496,371,545,636,792,458
ENSMUSG00000021728,11808,13639,14765,15650,11542,17398,17466,15285,17968,18902,20774,14919
ENSMUSG00000021730,1,0,0,0,0,0,1,0,0,0,0,3
ENSMUSG00000021731,785,746,673,651,880,813,758,491,589,687,727,733
ENSMUSG00000021732,2,0,0,0,0,1,0,0,0,0,1,0
ENSMUSG00000021733,4370,4562,5376,5122,4078,5952,5295,4587,5466,4656,6352,4885
ENSMUSG00000021737,2444,2222,2417,2518,2325,2561,2805,2214,2393,2230,2996,2613
ENSMUSG00000021738,466,521,504,462,407,623,464,430,629,717,936,438
ENSMUSG00000021741,0,0,1,1,0,0,0,0,0,0,0,0
ENSMUSG00000021743,0,0,0,0,0,0,0,0,2,0,0,0
ENSMUSG00000021745,1,216,9,2,1,49,53,15,8,3,2,9
ENSMUSG00000021747,0,0,0,4,4,0,4,0,0,0,0,3
ENSMUSG00000021748,2338,2775,2555,2635,2572,2781,2792,2029,2136,2406,2805,2721
ENSMUSG00000021749,0,1,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000021750,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000021751,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000021752,195,207,179,239,256,218,216,217,168,292,390,200
ENSMUSG00000021754,841,623,950,600,926,769,575,382,476,1484,2053,619
ENSMUSG00000021756,1680,667,731,656,1489,755,717,600,617,1423,1727,801
ENSMUSG00000021758,6,8,3,0,5,0,12,12,2,5,2,10
ENSMUSG00000021759,69,1999,1531,1723,58,1818,1979,1462,1747,56,40,2330
ENSMUSG00000021760,8,14,3,2,7,3,18,1,6,6,0,11
ENSMUSG00000021763,0,0,0,0,0,0,0,0,0,2,0,0
ENSMUSG00000021764,897,972,1063,1075,902,878,1038,949,1170,920,853,1132
ENSMUSG00000021765,0,3,22,7,2,3,31,2,11,7,37,24
ENSMUSG00000021767,232,134,214,256,204,567,168,125,245,256,260,246
ENSMUSG00000021768,9,11,38,19,5,24,17,16,1,10,16,27
ENSMUSG00000021770,1045,930,1154,1157,900,1012,1029,1128,1061,1435,1873,1058
ENSMUSG00000021771,9198,8092,9100,9563,10551,9171,10374,8526,10219,9056,9889,8828
ENSMUSG00000021772,130,191,312,258,148,265,243,257,291,147,239,311
ENSMUSG00000021773,845,922,1245,1187,757,1113,1046,925,1100,758,815,1099
ENSMUSG00000021774,1377,1064,1314,1381,1463,1332,1264,977,1213,1120,1281,1322
ENSMUSG00000021775,827,342,516,587,797,323,310,310,439,1225,1452,331
ENSMUSG00000021779,4,11,7,16,13,8,0,1,18,24,14,22
ENSMUSG00000021782,2,19,30,24,20,38,15,8,27,19,84,30
ENSMUSG00000021785,522,372,405,475,515,291,519,307,447,678,814,500
ENSMUSG00000021786,244,312,375,286,342,283,238,301,275,401,438,329
ENSMUSG00000021789,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000021790,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000021791,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000021792,234,134,122,91,263,98,157,85,104,238,337,157
ENSMUSG00000021794,11609,6859,7719,7484,10411,8605,8967,7000,8273,11985,15738,7227
ENSMUSG00000021795,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000021796,29,44,45,86,22,40,28,29,26,10,15,41
ENSMUSG00000021797,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000021798,6,0,0,0,0,3,2,2,0,0,0,2
ENSMUSG00000021799,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000021803,5,0,0,0,0,0,0,0,0,2,0,0
ENSMUSG00000021804,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000021806,546,31,110,50,360,38,59,191,96,709,756,34
ENSMUSG00000021807,2506,1865,2281,2337,2574,2330,2524,2170,2649,2525,2582,2092
ENSMUSG00000021809,645,342,318,207,503,496,222,145,242,646,376,408
ENSMUSG00000021810,1377,1071,1197,1305,1367,1473,1375,1126,1233,1084,1279,1529
ENSMUSG00000021811,1742,540,472,519,1744,816,858,606,609,1052,1089,712
ENSMUSG00000021814,5616,3203,3796,4262,5470,4821,4912,4344,4885,4880,5698,3502
ENSMUSG00000021815,21,6,22,9,18,20,25,14,9,12,14,27
ENSMUSG00000021816,2008,1724,1747,1979,1883,2072,2002,1414,1888,2161,2907,1789
ENSMUSG00000021819,2693,2851,2596,3363,2634,3867,3935,2170,3111,4129,5275,2670
ENSMUSG00000021820,974,840,943,1276,1048,991,1019,722,948,1143,1254,1032
ENSMUSG00000021822,6080,257,429,393,5631,902,920,800,906,2305,2573,352
ENSMUSG00000021823,1319,1643,1627,2027,1180,2009,1691,2059,1861,1068,1209,1639
ENSMUSG00000021824,4016,3489,3659,4151,4071,4418,3929,3930,4477,4165,5591,3963
ENSMUSG00000021830,655,589,450,536,665,688,426,486,394,1049,1209,451
ENSMUSG00000021831,3564,4310,7537,7397,3094,5938,5139,6459,7224,3272,4337,4689
ENSMUSG00000021832,2832,2491,2846,2843,2832,3180,3027,2371,3006,2435,2860,2684
ENSMUSG00000021835,0,1,0,3,1,0,3,0,0,0,0,0
ENSMUSG00000021838,10,13,25,3,6,22,15,11,15,10,28,26
ENSMUSG00000021840,2943,2317,2261,2272,2845,2665,2892,2219,2632,2671,3458,2405
ENSMUSG00000021843,896,627,902,878,1123,1535,1588,892,981,1053,1673,856
ENSMUSG00000021846,454,512,307,273,457,433,362,185,284,1164,1218,466
ENSMUSG00000021848,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000021850,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000021852,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000021866,3197,2252,2534,2724,3369,2587,3076,2389,2649,3583,3581,2482
ENSMUSG00000021867,329,206,159,282,290,171,292,143,341,232,278,201
ENSMUSG00000021868,284,312,345,358,315,495,447,335,387,164,214,414
ENSMUSG00000021870,2280,2285,2360,2270,2181,2393,2348,1689,1928,2316,2206,2723
ENSMUSG00000021871,2387,979,1331,1808,2236,1486,1597,1584,2088,878,709,1285
ENSMUSG00000021872,1,5,39,20,0,11,8,12,37,0,0,2
ENSMUSG00000021874,0,0,0,0,1,0,0,0,1,4,0,0
ENSMUSG00000021876,5003,1336,1090,1193,5044,1515,1732,975,1247,5221,5415,1488
ENSMUSG00000021877,3059,2925,3080,3406,3161,3259,3485,2853,3272,2884,3062,3310
ENSMUSG00000021879,0,0,0,0,2,2,0,0,0,0,0,1
ENSMUSG00000021880,832,105,146,121,955,320,178,155,103,501,291,193
ENSMUSG00000021884,347,203,145,153,303,106,112,108,96,272,791,191
ENSMUSG00000021886,703,753,756,791,669,540,584,523,521,674,812,680
ENSMUSG00000021890,3585,5244,5903,6139,3400,6962,6675,5760,6625,3492,3586,6217
ENSMUSG00000021891,925,1295,1053,1072,797,1219,1638,1042,1067,1074,1473,1539
ENSMUSG00000021892,4625,7780,7731,8338,4529,6795,7133,6092,6617,6384,6692,7914
ENSMUSG00000021893,1542,1608,1566,1638,1526,1752,1660,1165,1494,1608,1910,1485
ENSMUSG00000021895,555,813,758,786,539,937,890,648,764,721,777,853
ENSMUSG00000021898,1,1,0,1,1,3,0,0,0,0,0,0
ENSMUSG00000021900,635,473,663,552,625,342,608,316,422,482,373,557
ENSMUSG00000021901,2096,1710,1577,1887,2127,2189,1872,1425,1581,2103,2529,1763
ENSMUSG00000021902,152,107,104,87,167,180,130,105,144,179,288,132
ENSMUSG00000021903,6,0,4,2,6,1,0,0,2,0,0,0
ENSMUSG00000021904,0,4,3,0,0,1,1,5,1,0,0,0
ENSMUSG00000021905,507,439,686,753,729,698,715,684,653,608,452,699
ENSMUSG00000021906,188,153,92,155,220,232,276,173,191,307,163,152
ENSMUSG00000021907,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000021908,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000021910,9908,8500,10329,10437,10177,12676,11201,8238,10017,14136,14930,8904
ENSMUSG00000021911,1020,881,797,544,815,775,816,526,813,706,862,752
ENSMUSG00000021913,0,10,0,0,0,3,2,4,0,0,0,13
ENSMUSG00000021916,849,717,1155,1021,921,819,730,607,801,846,1053,941
ENSMUSG00000021917,2142,2548,2462,2644,2519,2279,2315,1929,2297,2440,2320,2584
ENSMUSG00000021918,346,254,250,244,394,278,284,256,201,369,353,250
ENSMUSG00000021919,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000021922,0,0,0,0,0,4,0,1,0,0,0,0
ENSMUSG00000021927,0,0,0,0,1,0,0,0,1,2,1,1
ENSMUSG00000021928,619,563,833,811,663,633,702,580,679,629,486,812
ENSMUSG00000021929,2424,1441,1524,1590,2276,1710,1898,1566,1873,1668,1845,1427
ENSMUSG00000021930,590,426,442,359,719,590,610,477,589,387,454,425
ENSMUSG00000021932,960,481,619,699,908,616,592,567,579,767,669,570
ENSMUSG00000021933,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000021936,542,340,389,373,570,608,435,427,451,464,655,389
ENSMUSG00000021938,879,708,839,756,822,838,736,650,761,691,1039,803
ENSMUSG00000021939,277879,137896,171753,181880,278850,182278,191097,171238,192759,233903,268904,153620
ENSMUSG00000021940,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000021943,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000021944,0,0,0,0,0,1,0,0,0,0,0,0
ENSMUSG00000021945,887,736,905,868,899,731,860,894,870,1397,1480,894
ENSMUSG00000021947,1580,861,1027,1002,1817,872,1081,827,849,1654,1808,1090
ENSMUSG00000021948,9509,12179,11985,12992,9877,13016,13054,9410,10731,14545,16752,13942
ENSMUSG00000021950,1,5,35,40,0,0,2,15,21,2,0,0
ENSMUSG00000021951,700,590,676,666,629,605,530,514,552,570,732,596
ENSMUSG00000021952,1130,776,718,744,784,888,933,725,785,681,863,678
ENSMUSG00000021953,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000021957,12989,14038,15019,15622,13068,16147,17993,12158,13966,12118,14785,16198
ENSMUSG00000021958,255,262,228,222,227,260,282,257,249,172,160,251
ENSMUSG00000021959,1156,1102,895,1129,973,955,1032,896,835,1190,1514,1001
ENSMUSG00000021961,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000021962,1012,832,911,819,873,1068,989,815,823,847,883,881
ENSMUSG00000021963,591,362,342,498,497,567,502,491,460,357,427,485
ENSMUSG00000021965,865,93,146,166,699,281,294,189,243,485,753,77
ENSMUSG00000021966,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000021967,1038,1270,1313,1331,1034,1270,1343,1065,1117,1106,438,1577
ENSMUSG00000021969,2929,2133,2306,2754,3290,2861,2738,2574,2479,3087,5076,2509
ENSMUSG00000021972,909,727,714,742,882,795,629,488,681,1169,1504,787
ENSMUSG00000021973,2003,1379,1790,1656,2006,1522,1589,1264,1536,1853,2344,1716
ENSMUSG00000021974,0,0,0,0,0,1,0,0,0,0,0,0
ENSMUSG00000021975,1054,768,803,793,1008,746,890,717,748,842,962,811
ENSMUSG00000021977,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000021978,2434,1542,1403,1441,2271,2044,1379,1301,1333,1770,2925,1956
ENSMUSG00000021981,1282,628,712,839,1194,796,872,602,809,831,1395,610
ENSMUSG00000021982,446,732,426,529,555,379,428,320,323,529,673,472
ENSMUSG00000021983,2,0,0,47,0,4,0,3,0,1,0,2
ENSMUSG00000021986,4,0,0,0,24,19,0,3,3,7,6,0
ENSMUSG00000021987,5258,3552,3484,3825,5014,3963,3899,3033,3556,5883,7146,3770
ENSMUSG00000021990,473,1422,1258,1263,512,1593,1834,1262,1443,660,708,1522
ENSMUSG00000021991,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000021993,447,342,393,402,416,435,481,313,429,353,371,387
ENSMUSG00000021994,5,6,5,5,4,15,13,12,8,7,4,6
ENSMUSG00000021996,13501,25428,23597,25112,14185,28246,31288,24124,27865,14366,17068,28805
ENSMUSG00000021997,2,12,4,5,2,20,2,13,16,11,0,10
ENSMUSG00000021998,56623,52244,60465,62793,53814,73700,70962,62907,70344,41158,47388,56754
ENSMUSG00000021999,0,0,0,0,0,0,0,0,0,0,0,2
ENSMUSG00000022000,1224,1523,1198,1143,856,1675,1358,1099,1763,992,1739,941
ENSMUSG00000022002,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000022003,977,592,589,693,864,826,945,580,754,952,1299,786
ENSMUSG00000022008,1498,1046,1212,1316,1452,1163,1218,1070,1322,1595,1705,1178
ENSMUSG00000022009,641,551,756,791,754,700,805,720,829,653,568,648
ENSMUSG00000022010,261,227,530,481,192,224,240,305,285,475,725,283
ENSMUSG00000022012,0,0,1,7,0,0,1,0,0,0,0,4
ENSMUSG00000022013,1149,948,887,1117,1208,947,982,946,1112,1137,1355,714
ENSMUSG00000022014,2498,573,792,871,2583,1104,1198,1373,1615,1344,1291,657
ENSMUSG00000022015,0,2,0,3,0,0,0,0,3,0,0,2
ENSMUSG00000022016,1045,674,564,740,1055,1111,947,632,733,686,1302,602
ENSMUSG00000022018,76,36,37,39,110,67,105,63,65,32,27,80
ENSMUSG00000022019,269,256,297,209,238,251,236,171,243,245,414,288
ENSMUSG00000022020,448,269,228,351,473,359,475,237,351,430,411,268
ENSMUSG00000022021,1395,431,484,348,1251,483,583,349,422,648,1261,239
ENSMUSG00000022022,218,169,107,165,227,191,225,152,159,168,173,252
ENSMUSG00000022023,1347,1338,1143,1227,1458,1371,1276,978,1146,1406,1664,1353
ENSMUSG00000022024,1448,1288,1686,1473,1671,1515,1503,1666,1786,1561,2154,1523
ENSMUSG00000022025,0,0,0,0,0,0,0,3,0,0,0,0
ENSMUSG00000022026,12,7,56,9,20,14,19,20,17,15,8,15
ENSMUSG00000022031,818,874,1017,1057,818,910,973,796,891,751,913,1118
ENSMUSG00000022032,0,1,0,1,0,1,0,0,0,4,0,0
ENSMUSG00000022033,1373,355,388,413,1384,496,596,356,489,861,1067,413
ENSMUSG00000022034,708,149,225,166,660,271,262,138,209,462,624,170
ENSMUSG00000022035,735,563,687,606,727,667,847,604,664,609,1005,606
ENSMUSG00000022037,4,10,26,53,2,17,13,6,38,7,4,4
ENSMUSG00000022039,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000022040,16,0,1,0,3,1,0,1,3,1,0,2
ENSMUSG00000022041,3,0,7,13,3,18,11,4,4,5,3,3
ENSMUSG00000022043,5682,4660,4224,4425,5359,5477,5225,3759,4333,4973,5456,4616
ENSMUSG00000022044,0,3,0,0,3,4,0,7,0,2,0,0
ENSMUSG00000022048,744,304,422,498,627,477,631,417,526,521,625,455
ENSMUSG00000022051,2743,3550,4194,3335,2723,3428,4023,3452,3760,2909,2895,4312
ENSMUSG00000022052,2380,1768,2097,2126,2313,2430,2355,2198,2175,1652,1806,1935
ENSMUSG00000022053,0,1,1,0,0,3,0,0,0,0,0,0
ENSMUSG00000022054,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000022055,0,0,0,0,0,0,1,0,5,1,0,0
ENSMUSG00000022056,0,0,9,4,0,0,35,1,41,0,0,0
ENSMUSG00000022057,1,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000022061,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000022064,228,202,241,244,299,292,339,254,225,233,364,253
ENSMUSG00000022066,416,433,515,532,392,541,570,397,435,496,554,491
ENSMUSG00000022070,610,202,254,268,609,360,354,241,357,517,545,194
ENSMUSG00000022074,236,230,263,260,223,264,319,247,367,103,114,253
ENSMUSG00000022075,324,437,386,473,306,398,423,268,285,344,547,479
ENSMUSG00000022076,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000022085,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000022089,2074,1989,1980,2065,1983,2022,2100,1639,1569,1934,1981,2419
ENSMUSG00000022090,863,598,492,694,979,785,860,482,596,990,1587,612
ENSMUSG00000022091,49,44,68,50,22,12,16,21,35,226,239,42
ENSMUSG00000022092,242,281,206,263,294,311,249,258,299,268,314,354
ENSMUSG00000022094,1052,911,1218,1221,1181,1867,1995,1540,1395,818,1126,1267
ENSMUSG00000022095,747,692,505,618,752,705,721,515,630,797,910,733
ENSMUSG00000022096,3,7,4,2,0,1,3,3,4,5,0,4
ENSMUSG00000022097,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000022098,44,157,203,237,43,135,148,116,130,54,319,193
ENSMUSG00000022099,25,0,8,6,8,6,6,3,9,58,10,4
ENSMUSG00000022100,1848,1382,1465,1545,1557,1785,1617,1183,1537,1672,1999,1628
ENSMUSG00000022101,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000022102,4749,2302,2622,2899,5372,3122,3781,3397,3591,3231,3363,2060
ENSMUSG00000022103,9,24,2,7,5,8,1,13,9,4,0,7
ENSMUSG00000022105,1495,1017,1215,1156,1330,1334,1061,1036,1018,2282,1970,1083
ENSMUSG00000022106,4722,845,1345,1341,4652,927,877,1081,1274,5521,5888,947
ENSMUSG00000022108,49157,43431,45823,48892,52981,40409,43327,32659,36570,71127,67718,48239
ENSMUSG00000022109,697,485,553,563,783,602,736,471,561,637,771,521
ENSMUSG00000022110,1782,1702,1727,1834,1801,1672,1850,1406,1598,1768,2132,1767
ENSMUSG00000022111,639,397,443,444,707,488,514,403,379,463,455,334
ENSMUSG00000022112,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000022113,0,0,0,0,0,0,5,1,0,0,0,0
ENSMUSG00000022114,385,77,113,103,350,279,241,166,229,374,394,147
